Query                Country               City                                                Org                                                                                
118.140.111.182      Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
43.224.5.223         Hong Kong             Kowloon Bay                                         HKBN Enterprise Solutions HK Limited                                               
61.244.144.154       Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
210.3.209.118        Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
183.178.23.18        Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
27.111.83.204        Hong Kong             Hong Kong                                           Vodien Internet Solutions Pte Ltd                                                  
42.200.201.166       Hong Kong             City One                                            Hong Kong Telecommunications (HKT) Limited                                         
202.82.174.25        Hong Kong             Central                                             YAU LEE Construction Company Limited                                               
125.215.136.108      Hong Kong             Quarry Bay                                          JET Hero Universal LTD                                                             
42.98.61.186         Hong Kong             Central                                             Hong Kong Telecommunications (HKT) Limited                                         
42.200.111.239       Hong Kong             Central                                             Hong Kong Telecommunications (HKT) Limited                                         
59.148.68.26         Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
112.120.102.217      Hong Kong             Central                                             Hong Kong Telecommunications (HKT) Limited                                         
210.3.150.82         Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
138.19.247.122       Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
218.188.49.250       Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
223.197.70.193       Hong Kong             Central                                             HKT Limited                                                                        
14.136.8.250         Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
112.120.42.118       Hong Kong             Central                                             Hong Kong Telecommunications (HKT) Limited                                         
203.174.35.30        Hong Kong             Prince Edward                                       HKBN Enterprise Solutions HK Limited                                               
223.197.177.19       Hong Kong             Sau Mau Ping                                        HKT Limited                                                                        
72.255.228.232       Hong Kong             Central                                             PCCW IMS Ltd (PCCW Business Internet Access)                                       
203.169.47.69        Hong Kong             Hong Kong                                           APT Telecom Services Limited                                                       
203.166.221.166      Hong Kong             Causeway Bay                                        Nova Network Limited                                                               
219.76.162.30        Hong Kong             Central                                             Hong Kong Telecommunications (HKT) Limited                                         
42.200.163.214       Hong Kong             Kwu Tung                                            Hong Kong Telecommunications (HKT) Limited                                         
72.255.231.244       Hong Kong             Central                                             PCCW IMS Ltd (PCCW Business Internet Access)                                       
61.244.240.210       Hong Kong             Kwai Chung                                          Yaucheong                                                                          
218.250.161.187      Hong Kong             Central                                             PCCW Limited                                                                       
118.140.78.66        Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
183.178.35.129       Hong Kong             Shek Kip Mei                                        Hong Kong Broadband Network Ltd                                                    
183.178.46.73        Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
61.238.240.78        Hong Kong             Kwai Chung                                          Northwest Fur Co Ltd                                                               
118.140.94.83        Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
118.140.22.114       Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
210.0.181.82         Hong Kong             Hong Kong                                           HGC Global Communications Limited                                                  
220.246.75.221       Hong Kong             Central                                             Hong Kong Telecommunications (HKT) Limited                                         
72.255.254.130       Hong Kong             Central                                             PCCW IMS Ltd (PCCW Business Internet Access)                                       
155.137.165.161      Hong Kong             North Point                                         Hong Kong Broadband Network Ltd                                                    
59.152.250.170       Hong Kong             Tai Kok Tsui                                        HKBNES                                                                             
115.160.136.202      Hong Kong             Kowloon Bay                                         HKBNES                                                                             
14.136.104.146       Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
202.155.253.226      Hong Kong             Kwun Tong                                           HKBN Enterprise Solutions HK Limited                                               
61.244.85.230        Hong Kong             Wong Tai Sin                                        Hong Kong Broadband Network Ltd                                                    
8.210.17.17          Hong Kong             Hong Kong                                           Hong Kong                                                                          
183.178.46.72        Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
202.126.214.138      Hong Kong             Kowloon Bay                                         HKBNES                                                                             
202.127.78.82        Hong Kong             Wan Chai                                            TELSTRAGLOBAL                                                                      
183.178.167.17       Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
202.69.71.241        Hong Kong             Kowloon Bay                                         HKBN Enterprise Solutions HK Limited                                               
202.155.242.18       Hong Kong             Kwun Tong                                           HKBN Enterprise Solutions HK Limited                                               
63.217.17.82         Hong Kong             Hong Kong                                           PCCW Global, Inc.                                                                  
72.255.244.31        Hong Kong             Fanling                                             PCCW IMS Ltd (PCCW Business Internet Access)                                       
113.212.225.242      Hong Kong             North Point                                         Towngas Telecommunications Fixed Network Limited                                   
61.244.93.89         Hong Kong             Lam Tin                                             Hong Kong Broadband Network Ltd                                                    
45.125.115.51        Hong Kong             Tsz Wan Shan                                        Viking Telecom Limited                                                             
42.200.198.140       Hong Kong             Central                                             Hong Kong Telecommunications (HKT) Limited                                         
103.247.141.30       Hong Kong             Sham Shui Po                                        COL Limited                                                                        
61.92.255.102        Hong Kong             Kwai Chung                                          PMS Engineering LTD                                                                
103.253.239.186      Hong Kong             Kowloon City                                        HKBN Enterprise Solutions HK Limited                                               
118.140.67.54        Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
105.179.0.78         Rwanda                Kigali                                              KT RWANDA NETWORK Ltd                                                              
41.186.11.53         Rwanda                Rubavu                                              Pppoe Staticip                                                                     
197.243.43.62        Rwanda                Kigali                                                                                                                                 
181.94.245.28        Paraguay              Asunción                                           Núcleo S.A                                                                        
200.108.135.202      Paraguay              Asunción                                           E-life Paraguay S.A                                                                
181.78.27.170        Paraguay              Asunción                                           Ufinet Colombia                                                                    
190.128.170.154      Paraguay              Asunción                                           Telecel S.A                                                                        
200.3.248.6          Paraguay              Fernando de la Mora                                 Núcleo S.A                                                                        
190.128.155.222      Paraguay              Asunción                                           Telecel S.A                                                                        
201.222.50.173       Paraguay              Asunción                                           Financiera El Comercio S.A.E.C.A                                                   
181.94.246.248       Paraguay              Fernando de la Mora                                 Núcleo S.A                                                                        
181.94.221.205       Paraguay              Mariano Roque Alonso                                Telecom Personal Bs                                                                
186.16.210.78        Paraguay              Asunción                                           Telecel S.A                                                                        
190.104.154.122      Paraguay              Asunción                                           Núcleo S.A                                                                        
181.94.197.67        Paraguay              Asunción                                           Núcleo S.A                                                                        
181.94.221.193       Paraguay              Mariano Roque Alonso                                Telecom Personal Bs                                                                
181.94.244.169       Paraguay              Asunción                                           Núcleo S.A                                                                        
131.161.252.202      Paraguay              Asunción                                           TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A)               
190.128.231.134      Paraguay              Asunción                                           Telecel S.A                                                                        
181.94.221.132       Paraguay              Mariano Roque Alonso                                Telecom Personal Bs                                                                
190.104.159.170      Paraguay              Asunción                                           Núcleo S.A                                                                        
181.94.246.144       Paraguay              Fernando de la Mora                                 Núcleo S.A                                                                        
201.222.51.110       Paraguay              Asunción                                           TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A)               
138.186.60.202       Paraguay              Asunción                                           TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A)               
181.40.68.46         Paraguay              Ciudad del Este                                     Telecel S.A                                                                        
186.123.12.57        Argentina             Villa Ballester                                     AMX Paraguay SA                                                                    
200.73.69.178        Chile                 Santiago                                            IFX Networks Chile S.A                                                             
190.82.251.207       Chile                 Mejillones                                          Telefonica Empresas Chile SA                                                       
200.126.107.135      Chile                 Osorno                                              Telefonica del Sur S.A                                                             
181.78.30.50         Chile                 Santiago                                            Ufinet Chile SPA                                                                   
216.241.2.14         Chile                 Santiago                                            IFX Networks Chile S.A                                                             
200.73.17.100        Chile                 Las Condes                                          IFX Networks Chile S.A                                                             
190.61.56.34         Chile                 Santiago                                            Ufinet Chile SPA                                                                   
200.73.92.242        Chile                 Santiago                                            IFX Networks Chile S.A                                                             
85.247.156.185       Portugal              Lisbon                                              PT Comunicacoes S.A.                                                               
5.249.57.151         Portugal              Lisbon                                              Vodafone Telecel, Comunicacoes Pessoais, SA                                        
62.28.202.238        Portugal              Bairro Alto                                                                                                                            
89.26.253.50         Portugal              Lisbon                                              ONITELECOM - INFOCOMUNICACOES, S.A                                                 
62.28.36.93          Portugal              Telheiro                                            PT Prime - Solucoes Empresariais de Telecomunicacoes SA                            
41.211.122.107       Cameroon              Yaoundé                                            at Yaounde and his Neighborhood                                                    
62.48.160.104        Portugal              Leça da Palmeira                                                                                                                      
176.78.145.210       Portugal              Ferragudo                                           PT Comunicacoes S.A.                                                               
62.28.203.178        Portugal              Murtosa                                                                                                                                
85.245.106.203       Portugal              Lisbon                                              PT Comunicacoes S.A.                                                               
62.28.216.72         Portugal              Coimbra                                             PT Prime                                                                           
62.48.177.154        Portugal              Queijas                                             SEP Samsung Electronica Portuguesa, SA                                             
62.28.19.87          Portugal              Gondizalves                                         PT Prime - Solucoes Empresariais de Telecomunicacoes SA                            
89.152.245.180       Portugal              Lisbon                                              TVCABO-Portugal                                                                    
62.28.69.38          Portugal              Cartaxo                                             Fleximol Suspensoes Veiculos SA                                                    
62.48.185.201        Portugal              Rio Mau                                             Oropol, S.A.                                                                       
62.28.32.110         Portugal              Amadora                                             Spdad                                                                              
62.48.187.166        Portugal              Rio de Mouro                                        Retail4people                                                                      
62.28.251.194        Portugal              Leiria                                              CPS - Consultores Informatica Lda                                                  
148.69.223.89        Portugal              Areeiro                                             VDF                                                                                
89.115.240.78        Portugal              Damaia                                              VDF                                                                                
62.28.228.62         Portugal              Lisbon                                                                                                                                 
148.69.165.220       Portugal              Porto                                               Vodafone Portugal - Communicacoes Pessoais S.A.                                    
62.28.220.199        Portugal              Vila Nova de Gaia                                   PT Prime                                                                           
88.157.107.83        Portugal              Portalegre                                                                                                                             
161.230.248.6        Portugal              Porto                                               Vodafone Portugal - Communicacoes Pessoais S.A                                     
62.28.224.114        Portugal              Torre de Moncorvo                                   Camara Municipal de Torre de Moncorvo                                              
62.28.216.229        Portugal              Coimbra                                             PT Prime                                                                           
158.162.125.253      Portugal              Lisbon                                              Universidade Catolica Portuguesa                                                   
62.28.201.126        Portugal              Ribeira de Frades                                                                                                                      
88.157.92.249        Portugal              Amadora                                                                                                                                
62.28.73.118         Portugal              Amadora                                             Spdad SOC Port Dist Artigos Desporto Unip LDA                                      
62.28.121.45         Portugal              Aves                                                PT Prime - Solucoes Empresariais de Telecomunicacoes SA                            
89.114.205.209       Portugal              Porto                                               Ptvdfcustepet306                                                                   
93.108.246.16        Portugal              Lisbon                                                                                                                                 
88.157.175.42        Portugal              Lisbon                                              NOS COMUNICACOES, S.A                                                              
62.28.171.10         Portugal              Lisbon                                              Profimetrics Software Solutions                                                    
62.28.234.210        Portugal              Lisbon                                                                                                                                 
195.23.233.69        Portugal              Lisbon                                              NOS Comunicacoes S.A.                                                              
83.240.201.126       Portugal              Amadora                                             Spdad SOC Port Dist Artigos Desporto Unip LDA                                      
62.48.209.68         Portugal              Setúbal                                            PT Prime                                                                           
62.48.242.158        Portugal              Amadora                                             Spdad SOC Port Dist Artigos Desporto Unip LDA                                      
83.240.213.194       Portugal              Lisbon                                                                                                                                 
83.240.201.110       Portugal              Alfragide                                           Spdad SOC Port Dist Artigos Desporto Unip LDA                                      
83.240.185.110       Portugal              Portimão                                           Spdad SOC Port Dist Artigos Desporto Unip LDA                                      
62.28.139.1          Portugal              Marvila                                                                                                                                
62.28.178.214        Portugal              Aveiro                                                                                                                                 
